Title,Scraped At,From,To,Date,Departs,Arrives,Duration,Stop(s),Flight,All prices,CityValue,CityFlex,CityPremium
OUTBOUND: LONDON » DUBLIN,26/06/2018 18:55:48,London,Dublin,12/07/2018,08:30,10:10,1:40,0,WX105,"['£79.12', '£106.12', '£305.12']",£79.12,£106.12,£305.12
OUTBOUND: LONDON » DUBLIN,26/06/2018 18:55:49,London,Dublin,12/07/2018,09:40,11:00,1:20,0,WX113,"['£110.12', '£138.12', '£305.12']",£110.12,£138.12,£305.12
OUTBOUND: LONDON » DUBLIN,26/06/2018 18:55:50,London,Dublin,12/07/2018,13:50,15:25,1:35,0,WX119,"['£98.12', '£126.12', '£305.12']",£98.12,£126.12,£305.12
OUTBOUND: LONDON » DUBLIN,26/06/2018 18:55:51,London,Dublin,12/07/2018,15:30,16:55,1:25,0,WX121,"['£98.12', '£126.12', '£305.12']",£98.12,£126.12,£305.12
OUTBOUND: LONDON » DUBLIN,26/06/2018 18:55:52,London,Dublin,12/07/2018,17:30,19:00,1:30,0,WX123,"['£135.12', '£163.12', '£305.12']",£135.12,£163.12,£305.12
OUTBOUND: LONDON » DUBLIN,26/06/2018 18:55:52,London,Dublin,12/07/2018,18:45,20:10,1:25,0,WX125,"['£135.12', '£163.12', '£305.12']",£135.12,£163.12,£305.12
OUTBOUND: LONDON » DUBLIN,26/06/2018 18:55:53,London,Dublin,12/07/2018,20:05,21:25,1:20,0,WX127,"['£110.12', '£138.12', '£305.12']",£110.12,£138.12,£305.12
RETURN: DUBLIN » LONDON,26/06/2018 18:55:55,Dublin,London,20/07/2018,07:30,09:10,1:40,0,WX112,"['£45.30', '£72.30', '£258.30']",£45.30,£72.30,£258.30
RETURN: DUBLIN » LONDON,26/06/2018 18:55:56,Dublin,London,20/07/2018,08:40,10:10,1:30,0,WX114,"['£51.30', '£79.30', '£258.30']",£51.30,£79.30,£258.30
RETURN: DUBLIN » LONDON,26/06/2018 18:55:58,Dublin,London,20/07/2018,11:50,13:20,1:30,0,WX116,"['£63.30', '£91.30', '£258.30']",£63.30,£91.30,£258.30
RETURN: DUBLIN » LONDON,26/06/2018 18:56:00,Dublin,London,20/07/2018,13:20,14:45,1:25,0,WX118,"['£51.30', '£79.30', '£258.30']",£51.30,£79.30,£258.30
RETURN: DUBLIN » LONDON,26/06/2018 18:56:01,Dublin,London,20/07/2018,16:40,18:15,1:35,0,WX122,"['£51.30', '£79.30', '£258.30']",£51.30,£79.30,£258.30
RETURN: DUBLIN » LONDON,26/06/2018 18:56:03,Dublin,London,20/07/2018,18:00,19:35,1:35,0,WX126,"['£51.30', '£79.30', '£258.30']",£51.30,£79.30,£258.30
RETURN: DUBLIN » LONDON,26/06/2018 18:56:05,Dublin,London,20/07/2018,19:45,21:05,1:20,0,WX128,"['£51.30', '£79.30', '£258.30']",£51.30,£79.30,£258.30
OUTBOUND: LONDON » AMSTERDAM,26/06/2018 18:56:28,London,Amsterdam,12/07/2018,07:45,10:00,1:15,0,,"['£119.12', '£201.12', '£307.12']",£119.12,£201.12,£307.12
OUTBOUND: LONDON » AMSTERDAM,26/06/2018 18:56:31,London,Amsterdam,12/07/2018,09:20,11:30,1:10,0,,"['£119.12', '£201.12', '£307.12']",£119.12,£201.12,£307.12
